Code,buying value,average value,selling value,date
AED,340.734852,344.141856,347.548861,12/29/2023
AOA,1.47855,1.493334,1.508118,12/29/2023
AUD,856.15765,864.718362,873.279074,12/29/2023
BIF,0.439248,0.44364,0.448032,12/29/2023
CAD,945.894335,955.352323,964.810311,12/29/2023
CHF,"1,485.00","1,499.84","1,514.69",12/29/2023
CNH,176.414904,178.178874,179.942845,12/29/2023
CNY,176.47372,178.238279,180.002838,12/29/2023
DKK,185.903155,187.761999,189.620843,12/29/2023
EGP,40.465854,40.870471,41.275089,12/29/2023
ETB,22.217676,22.43983,22.661984,12/29/2023
EUR,"1,385.70","1,399.55","1,413.41",12/29/2023
GBP,"1,598.25","1,614.23","1,630.21",12/29/2023
GHS,104.59352,105.639349,106.685179,12/29/2023
GNF,0.145164,0.146616,0.148067,12/29/2023
HKD,160.144592,161.745876,163.34716,12/29/2023
ILS,344.705601,348.152309,351.599017,12/29/2023
INR,15.049553,15.200034,15.350514,12/29/2023
JPY,8.860665,8.949263,9.037861,12/29/2023
KES,7.995936,8.075887,8.155838,12/29/2023
KMF,2.815691,2.843845,2.871999,12/29/2023
KRW,0.969223,0.978915,0.988606,12/29/2023
KWD,"4,072.57","4,113.29","4,154.01",12/29/2023
LSL,67.783058,68.46082,69.138582,12/29/2023
LYD,262.642612,265.268773,267.894934,12/29/2023
MAD,126.407613,127.671562,128.93551,12/29/2023
MRO,3.500842,3.535847,3.570852,12/29/2023
MUR,28.47414,28.758853,29.043566,12/29/2023
MWK,0.743342,0.750775,0.758208,12/29/2023
MZN,19.590324,19.786207,19.982091,12/29/2023
NGN,1.395957,1.409915,1.423873,12/29/2023
NOK,122.817295,124.045344,125.273393,12/29/2023
PLN,319.585887,322.781423,325.976959,12/29/2023
QAR,343.277733,346.710164,350.142595,12/29/2023
RUB,13.887612,14.026474,14.165336,12/29/2023
SAR,333.702508,337.039196,340.375884,12/29/2023
SDG,2.084237,2.105077,2.125917,12/29/2023
SEK,125.398344,126.652201,127.906058,12/29/2023
SGD,949.734937,959.231327,968.727717,12/29/2023
SSP,1.158813,1.1704,1.181987,12/29/2023
SZL,67.783058,68.46082,69.138582,12/29/2023
TRY,42.393037,42.816925,43.240813,12/29/2023
TZS,0.49869,0.503676,0.508663,12/29/2023
UGX,0.331,0.33431,0.337619,12/29/2023
USD,"1,251.42","1,263.93","1,276.44",12/29/2023
XAF,2.05608,2.076639,2.097197,12/29/2023
XDR,"1,678.99","1,695.78","1,712.57",12/29/2023
XOF,2.121154,2.142363,2.163572,12/29/2023
ZAR,67.748018,68.42543,69.102842,12/29/2023
ZMW,48.693302,49.180185,49.667069,12/29/2023
ZWD,3.298112,3.33109,3.364068,12/29/2023
AED,340.451328,343.855498,347.259667,12/28/2023
AOA,1.477402,1.492174,1.506947,12/28/2023
AUD,856.055076,864.614762,873.174448,12/28/2023
BIF,0.438906,0.443295,0.447684,12/28/2023
CAD,947.450772,956.924323,966.397874,12/28/2023
CHF,"1,487.47","1,502.34","1,517.21",12/28/2023
CNH,175.873927,177.632489,179.39105,12/28/2023
CNY,175.875177,177.633752,179.392326,12/28/2023
DKK,186.404555,188.268412,190.132269,12/28/2023
EGP,40.43441,40.838713,41.243016,12/28/2023
ETB,22.206039,22.428077,22.650115,12/28/2023
EUR,"1,389.56","1,403.45","1,417.35",12/28/2023
GBP,"1,602.01","1,618.03","1,634.05",12/28/2023
GHS,103.945168,104.984515,106.023862,12/28/2023
GNF,0.145052,0.146502,0.147952,12/28/2023
HKD,160.048912,161.64924,163.249567,12/28/2023
ILS,345.112364,348.563139,352.013914,12/28/2023
INR,15.025355,15.175593,15.325831,12/28/2023
JPY,8.858157,8.946729,9.035302,12/28/2023
KES,7.987221,8.067086,8.14695,12/28/2023
KMF,2.809751,2.837846,2.865941,12/28/2023
KRW,0.970346,0.980048,0.989751,12/28/2023
KWD,"4,072.32","4,113.04","4,153.76",12/28/2023
LSL,68.06113,68.741673,69.422215,12/28/2023
LYD,261.532578,264.14764,266.762702,12/28/2023
MAD,127.657994,128.934445,130.210896,12/28/2023
MRO,3.498122,3.533099,3.568077,12/28/2023
MUR,28.328846,28.612106,28.895365,12/28/2023
MWK,0.742765,0.750192,0.757618,12/28/2023
MZN,19.575101,19.770832,19.966564,12/28/2023
NGN,1.413004,1.427132,1.441261,12/28/2023
NOK,123.936043,125.175278,126.414513,12/28/2023
PLN,321.368903,324.582267,327.795632,12/28/2023
QAR,343.01099,346.440754,349.870517,12/28/2023
RUB,13.732394,13.869704,14.007014,12/28/2023
